Number of aligned reads:	4072
Number of unique IVT fragments:	9322
Percent unique IVT fragments:	2.28929273084479
Number of unique UMIs:	621
Number of unique UMIs after correction:	606
Number of reads with mismatches in UMI:	79
Percentage of reads with mismatches in UMI:	0.0194007858546169
Number of reads with shifts in alignment position:	206
Percentage of reads with shifts in alignment position:	0.0505893909626719
Average number of products per fragment:	3.07208753486376
Median number of products per fragment:	1
